iata_code;icao_code;name_eng;city_eng;страна_англ
CFT;KCFT;Моренси;Клифтон;Соединенные Штаты
CFU;LGKR;Иоаннис Каподистриас;Керкира;Греция
CFV;KCFV;Муниципальный;Коффивилль;Соединенные Штаты
CGA;KCGA;Крейг СПБ;Крейг;Соединенные Штаты
CGB;SBCY;Международный Аэропорт. Марешаль Рондон;Куяба;Бразилия
CGC;AYCG;Мыс Глостер;Мыс Глостер;Папуа - Новая Гвинея
CGD;ZGCD;Чандэ;Чандэ;Китай
CGE;KCGE;Кембридж;Кембридж;Соединенные Штаты
CGF;KCGF;Округ Кайахога;Кливленд;Соединенные Штаты
CGG;;Быть уверенным;Быть уверенным;Филиппины
CGH;SBSP;Конгоньяс;Сан-Паулу;Бразилия
CGI;KCGI;Мыс Жирардо;Мыс Жирардо;Соединенные Штаты
CGJ;FLKE;Заем;Заем;Замбия
CGM;RPMH;Мамбаджао;Камигуин;Филиппины
CGN;EDDK;Кёльн/Бонн;Кёльн;Германия
CGO;ZHCC;Чжэнчжоу;Чжэнчжоу;Китай
CGP;VGEG;Возьми это;Читтагонг;Бангладеш
CGQ;ZYCC;Чанчунь;Чанчунь;Китай
CGR;SBCG;Международный Аэропорт Кампу-Гранде;Большое поле;Бразилия
CGS;KCGS;Колледж Парк;Колледж Парк;Соединенные Штаты
CGT;GQPC;Чингуитти;Чингуитти;Мавритания
CGU;SVPR;город Гуаяна;город Гуаяна;Венесуэла
CGV;YCAG;Кайгуна;Кайгуна;Австралия
CGX;;Меррилл С. Мейгс (закрыто);Чикаго;Соединенные Штаты
CGY;RPMY;Внутренний аэропорт Кагаян-де-Оро;Кагаян Де Оро;Филиппины
CGZ;KCGZ;Муниципальный;Большой дом;Соединенные Штаты
CHA;KCHA;Ловелл Филд;Чаттануга, Теннесси;Соединенные Штаты
CHB;OPCL;Чилас;Чилас;Пакистан
CHC;NZCH;Крайстчерч Интернэшнл;Крайстчерч;Новая Зеландия
CHD;KCHD;Уильямс Гейтуэй аэропорт;Меса;Соединенные Штаты
CHE;;Реенро;Каэрсивин;Ирландия
CHF;RKPE;Джинхэ;Джинхэ;Корея, Юг)
CHG;ZYCY;Аэропорт Чаоян;Чаоян;Китай
CHH;SPPY;чачапояс;чачапояс;Перу
CHI;KCHI;Чикаго ФСС;Чикаго;Соединенные Штаты
CHJ;FVCH;Сопротивляйся этому;Сопротивляйся этому;Зимбабве
CHK;KCHK;Муниципальный;Чикаша;Соединенные Штаты
CHL;KLLJ;Чаллис;Чаллис;Соединенные Штаты
CHM;SPEO;Чимботе;Чимботе;Перу
CHN;RKJU;Чонджу;Чонджу;Корея, Юг)
CHO;KCHO;Альбемарль;Шарлоттсвилль;Соединенные Штаты
CHP;KCHP;Круглые Хот-Спрингс;Круглые Хот-Спрингс;Соединенные Штаты
CHQ;LGSA;Суда;Ханья;Греция
CHR;LFLX;Шатору;Шатору;Франция
CHS;KCHS;Чарльстон, Муниципальная авиабаза;Чарльстон, Южная Каролина;Соединенные Штаты
CHT;NZCI;Защита;Остров Чатем;Новая Зеландия
CHU;PACH;Чуатбалук;Чуатбалук;Соединенные Штаты
CHV;LPCH;Шавес;Шавес;Португалия
CHW;ZLJQ;Цзюхуан;Цзюцюань;Китай
CHX;MPCH;Чангинола;Чангинола;Панама
CHY;AGGC;Шуазель Бэй;Шуазель Бэй;Соломоновы острова
CHZ;KCHZ;Состояние;Чилокин;Соединенные Штаты
CIA;LIRA;Чампино;Рим;Италия
CIB;KAVX;ап в небе;Остров Каталина;Соединенные Штаты
CIC;KCIC;Чико;Чико;Соединенные Штаты
CID;KCID;Сидар-Рапидс;Сидар-Рапидс;Соединенные Штаты
CIE;YCOI;Колли;Колли;Австралия
CIF;ZBCF;Чифэн;Чифэн;Китай
CIG;KCAG;Крейг-Моффат;Крейг;Соединенные Штаты
CIH;ZBCZ;Чанчжи;Чанчжи;Китай
CIJ;SLCO;Э. Бельтрам;Одеяло;Бразилия
CIK;PACI;Чалкитсик;Чалкитсик;Соединенные Штаты
CIL;KCIL;Мелсинг Крик;Совет;Соединенные Штаты
CIM;SKCM;Ятаган;Ятаган;Колумбия
CIN;KCIN;Кэрролл;Кэрролл;Соединенные Штаты
CIO;SBGR;MCAL Лопес;Зачатие;Колумбия
CIP;FLCP;Ворота;Ворота;Замбия
CIQ;;Чикимула;Чикимула;Гватемала
CIR;KCIR;Каир;Каир;Соединенные Штаты
CIS;PCIS;Кантонский остров;Кантонский остров;Кирибати
CIT;UAII;Шымкент;Шымкент;Казахстан
CIU;KCIU;Округ Чиппева;Су-Сент-Мари;Соединенные Штаты
CIV;SNLG;Чомли;Чомли;Соединенные Штаты
CIW;TVSC;Остров Кануан;Остров Кануан;Святой Винсент и Гренадины
CIX;SPHI;Корнел Руис;Чиклайо;Перу
CIY;LICB;конфискация;конфискация;Италия
CIZ;SWKO;коари;коари;Бразилия
CJA;SPJR;Кахамарка;Кахамарка;Перу
CJB;VOCB;Пиламеду;Коимбатур;Индия
CJC;SCCF;Эль Лоа;калама;Чили
CJD;;Кандилехас;Кандилехас;Колумбия
CJH;;Озеро Чилко;Озеро Чилко;Великобритания
CJI;VHHH;Сьюдад-Реаль - Аэропорт Дон Кихот;Реальный город;Испания
CJJ;RKTU;Чхонджу;Чхонджу;Корея, Юг)
CJL;OPCH;Читрал;Читрал;Пакистан
CJM;VTSE;Аэропорт Чумпхон;Чумпхон;Таиланд
CJN;KCJN;Гиллеспи Филд;Сан-Диего/Эль-Кахон, Калифорния;Соединенные Штаты
CJS;MMCS;Международный имени Авраама Гонсалеса;Хуарес Сити;Мексика
CJT;MMCO;Копалар;Комитан;Мексика
CJU;RKPC;Аэропорт Чеджу;Чеджу;Корея, Юг)
CKA;KCKA;Кегельман Бай;Чероки;Багамы
CKB;KCKB;Отличная работа;Кларксбург;Соединенные Штаты
CKC;UKKE;Черкассы;Черкассы;Украина
CKD;PACJ;Кривой Крик;Кривой Крик;Соединенные Штаты
CKE;PAFE;Чистое озеро;Чистое озеро;Соединенные Штаты
CKG;ZUCK;Чунцин Цзянбэй Международный;Чунцин;Китай
CKH;UESO;Чокурда;Чокурда;Российская Федерация
CKI;YCKI;Остров Крокер;Остров Крокер;Австралия
CKK;VHHH;Чероки;Чероки;Соединенные Штаты
CKL;HRYR;Чкаловский;Чкаловский;Российская Федерация
CKM;KCKM;Флетчер Филд;Кларксдейл;Соединенные Штаты
CKN;KCKN;Муниципальный;Крукстон;Соединенные Штаты
CKO;SSCP;Корнелий Прокопий;Корнелий Прокопий;Бразилия
CKR;RJFR;Крейн-Айленд;Крейн-Айленд;Соединенные Штаты
CKS;SBCJ;Карахас;Карахас;Бразилия
CKT;OIMC;Сары;Сары;Иран
CKU;KCKU;Город;Кордова;Соединенные Штаты
CKV;KCKV;Преступное поле;Кларксвилл;Соединенные Штаты
CKX;KCKX;Курица;Курица;Соединенные Штаты
CKY;GUCY;Конакри;Конакри;Гвинея
CKZ;LTBH;Сломанный;Сломанный;Турция
CLA;VGCM;Комилла;Комилла;Бангладеш
CLB;EICB;Каслбар;Каслбар;Ирландия
CLC;SHLI;Метропорт;Клирлейк;Соединенные Штаты
CLD;KCRQ;Мак-Клеллан-Паломар: аэропорт;Карлсбад, Калифорния;Соединенные Штаты
CLE;KCLE;Хопкинс Интернэшнл;Кливленд;Соединенные Штаты
CLG;KCLG;Уголь;Уголь;Соединенные Штаты
CLH;YCAH;Кула;Кула;Австралия
CLI;KCLI;Клинтонвилл;Клинтонвилл;Соединенные Штаты
CLJ;LRCL;Международный аэропорт Клуж-Напока;Клуж-Напока;Румыния
CLK;KCLK;Муниципальный;Клинтон;Соединенные Штаты
CLL;KCLL;Истервуд Филд;Колледж-Стейшн, Техас;Соединенные Штаты
CLM;KCLM;Международный аэропорт Фэйрчайлд;Порт-Анджелес;Соединенные Штаты
CLN;SBCI;Каролина;Каролина;Бразилия
CLO;SKCL;Альфонсо Б. Арагон;Али;Колумбия
CLP;PFCL;Кларкс Пойнт;Кларкс Пойнт;Соединенные Штаты
CLQ;MMIA;Колима;Колима;Мексика
CLR;KCLR;Калипатрия;Калипатрия;Соединенные Штаты
CLS;KCLS;Централия;Чехалис;Соединенные Штаты
CLT;KCLT;Шарлотта Дуглас;Шарлотта;Соединенные Штаты
CLU;KBAK;Колумбус Муниципальный;Колумбус;Соединенные Штаты
CLV;SBCN;Кальдас-Новас;Кальдас-Новас;Бразилия
CLW;KCLW;Исполнительный;Чистая вода;Канада
CLX;SATC;Клоринда;Клоринда;Парагвай
CLY;LFKC;Ты Кэтрин;лысый;Франция
CLZ;SVCL;Подземелье;Подземелье;Венесуэла
CMA;YCMU;Куннамулла;Куннамулла;Австралия
CMB;VCBI;Бандаранаяке;Коломбо;Шри-Ланка
CMC;SNWC;Камоцим;Камоцим;Бразилия
CMD;YCTM;Кутамундра;Кутамундра;Австралия
CME;MMCE;Кармен Сити;Кармен Сити;Мексика
CMF;LFLB;Шамбери;Шамбери;Франция
CMG;SBCR;Международный Аэропорт Корумба;корумба;Бразилия
CMH;KCMH;Международный Порт-Коламбус;Колумбус;Соединенные Штаты
CMI;KCMI;Университет Иллинойса Уиллард;Шампанское;Соединенные Штаты
CMJ;RCCM;Чи Мэй;Чи Мэй;Тайвань
CMK;FWCM;Клуб Макокола;Клуб Макокола;Малави
CML;YCMW;Камовеаль;Камовеаль;Австралия
CMM;MGCR;кармелит;кармелит;Гватемала
CMN;GMMN;Мохамед В.;Касабланка;Марокко
CMO;HCMO;Оббия;Оббия;Эфиопия
CMP;SNKE;Кампу-Алегри;Сантана-ду-Арагуайя;Бразилия
CMQ;YCMT;Клермон;Клермон;Австралия
CMR;LFGA;Кольмар-Хуссен;Кольмар;Франция
CMS;HCMS;Скушубан;Скушубан;Эфиопия
CMT;;Комета;Комета;Бразилия
CMU;AYCH;Чимбу;Кундиава;Папуа - Новая Гвинея
CMV;NZCX;Коромандел;Коромандел;Новая Зеландия
CMW;MUCM;Игн Аграрный Международный;Камагуэй;Куба
CMX;KCMX;Округ Хоутон;Хэнкок;Соединенные Штаты
CMY;KCMY;Форт Маккой;Спарта;Соединенные Штаты
CMZ;;падать;падать;Мозамбик
CNA;MMCA;ханаанский;ханаанский;Мексика
CNB;YCNM;Кунамбл;Кунамбл;Австралия
CNC;YCCT;Кокосовый остров;Кокосовый остров;Австралия
CND;LRCK;Когэлничану;Постоянный;Румыния
CNE;;Кэнон-Сити;Кэнон-Сити;Соединенные Штаты
CNG;LFBG;Парво;коньяк;Франция
CNH;KCNH;Муниципальный;Клермонт;Соединенные Штаты
CNI;ZYCH;Чанхай;Чанхай;Китай
CNJ;YCCY;Клонкерри;Клонкерри;Австралия
CNK;KCNK;Блоссер Муниципальный;Конкордия;Соединенные Штаты
CNL;EKSN;Синдал;Синдал;Дания
CNM;KCNM;Карловы Вары;Карловы Вары;Соединенные Штаты
CNN;VOKN;Чульман;Чульман;Российская Федерация
CNO;KCNO;Чино;Чино;Соединенные Штаты
CNP;BGCO;Неерлерит Инаат;Неерлерит Инаат;Гренландия
CNQ;SARC;Камба Пунта;течения;Аргентина
CNR;SCRA;Чанарал;Чанарал;Чили
CNS;YBCS;Кэрнс;Кэрнс;Австралия
CNT;;Чарата;Чарата;Аргентина
CNU;KCNU;Мартин Джонсон;поет;Соединенные Штаты
CNV;SNED;сахарный тростник;сахарный тростник;Бразилия
CNW;KCNW;TSTC Аэропорт Вако;Уэйко, Техас;Соединенные Штаты
CNX;VTCC;Чиангмай Международный;Чиангмай;Таиланд
CNY;KCNY;Каньонлендс Филд;Моав;Соединенные Штаты
CNZ;;Кангамба;Кангамба;Ангола
COA;KCOA;Колумбия;Колумбия;Соединенные Штаты
COB;;Кулиба;Кулиба;Австралия
COC;SAAC;Конкордия;Конкордия;Аргентина
COD;KCOD;Йеллоустонский региональный;Коди/Йеллоустоун;Соединенные Штаты
COF;KCOF;Патрик авиабаза;Какао;Соединенные Штаты
COG;SKCD;Мандинга;Кондото;Колумбия
COH;VECO;Куч Бехар;Куч Бехар;Индия
COI;KCOI;Остров Мерритт;Какао;Соединенные Штаты
COJ;YCBB;Кунабарабран;Кунабарабран;Австралия
COK;VOCI;Кочин Интернэшнл;Кочи;Индия
COL;EGEL;Остров Колл;Остров Колл;Великобритания
COM;KCOM;Коулман;Коулман;Соединенные Штаты
CON;KCON;Конкорд;Конкорд;Соединенные Штаты
COO;DBBB;Котону;Котону;Бенин
COP;KCOP;Куперстаун - Вествилл (аэропорт);Куперстаун, Нью-Йорк;Соединенные Штаты
COQ;ZMCD;Революции;Революции;Монголия
COR;SACO;белые соломинки;Кордова;Аргентина
COS;KCOS;Колорадо-Спрингс;Колорадо-Спрингс;Соединенные Штаты
COT;KCOT;С Котуллой;С Котуллой;Соединенные Штаты
COU;KCOU;Колумбийский региональный;Колумбия;Соединенные Штаты
COV;LPCV;Ковилья;Ковилья;Португалия
COW;SCQB;Кокимбо;Кокимбо;Уругвай
COX;MYAK;Конго Таун;Конго Таун;Багамы
COY;YCWY;Кулаванья;Кулаванья;Австралия
COZ;MDCZ;Констанция;Констанция;Доминиканская Республика
CPA;GLCP;А. Табман;Мыс Пальмас;Либерия
CPB;SKCA;Капургана;Капургана;Колумбия
CPC;SAZY;Чапелько;Сан-Мартин-де-лос-Андес;Аргентина
CPD;YCBP;Кубер-Педи;Кубер-Педи;Австралия
CPE;MMCP;Кампече Интернэшнл;Кампече;Мексика
CPF;WRSC;Чепу;Чепу;Индонезия
CPG;;Кармен Де Патагонес;Кармен Де Патагонес;Аргентина
CPH;EKCH;Каструп;Копенгаген;Дания
CPI;MMVA;Мыс Орфорд;Мыс Орфорд;Папуа - Новая Гвинея
CPL;SKHA;Чапараль;Чапараль;Колумбия
CPM;KCPM;Комптон;Комптон;Соединенные Штаты
CPN;;Мыс Родни;Мыс Родни;Папуа - Новая Гвинея
CPO;SCAT;Шамонат;копиапо;Чили
CPQ;SDAM;Международный;Кампинас;Бразилия
CPR;KCPR;Каспер;Каспер;Соединенные Штаты
CPS;KCPS;Аэропорт Сент-Луис Даунтаун;Сент-Луис, Иллинойс;Соединенные Штаты
CPT;FACT;Кейптаун Интернэшнл;Кейптаун;Южная Африка
CPU;SNCU;курурупу;курурупу;Бразилия
CPV;SBKG;Жоау Суасуна;Кампина Гранде;Бразилия
CPX;TJCP;Змея;Змея;Пуэрто-Рико
CQA;KCQA;Аэропорт Канара;канарана;Бразилия
CQD;OIFS;Шахре-Корд;Шахре-Корд;Иран
CQF;LFAC;Кале;Кале;Франция
CQP;YCFL;Мыс Лесть;Мыс Лесть;Австралия
CQS;SWCQ;Коста Маркес;Коста Маркес;Бразилия
CQT;;Какетания;Какетания;Колумбия
CRA;LRCV;Крайова;Крайова;Румыния
CRB;YCBR;Черный воротник;Черный воротник;Австралия
CRC;SKGO;Карфаген;Карфаген;Колумбия
CRD;SAVC;Коммодор Ривадавия;Коммодор Ривадавия;Аргентина
CRE;KCRE;Аэропорт Гранд Стрэнд;Миртл-Бич;Соединенные Штаты
CRF;FEFC;Карно;Карно;Центрально-Африканская Республика
CRG;KCRG;Крейг Мунисипал;Джексонвилл;Соединенные Штаты
CRH;;Черриба;Черриба;Австралия
CRI;MYCI;Кривой остров;Кривой остров;Острова Тёркс и Кайкос
CRJ;;Кураби;Кураби;Австралия
CRK;RPLC;Divine Prosperity International (Clark Int);Анхелес Сити;Филиппины
CRL;EBCI;Шарлеруа Брюссель Юг;Брюссель;Бельгия
CRM;RPVF;Национальный;катарман;Филиппины
CRN;;Кромарти;Кромарти;Великобритания
CRO;KCRO;Коркоран;Коркоран;Соединенные Штаты
CRP;KCRP;Международный аэропорт Корпус-Кристи;Корпус-Кристи, Техас;Соединенные Штаты
CRQ;SBCV;каравеллы;каравеллы;Бразилия
CRR;SANW;Церера;Церера;Аргентина
CRS;KCRS;Корсикана;Корсикана;Соединенные Штаты
CRT;KCRT;Муниципальный;Кроссетт;Соединенные Штаты
CRU;TGPZ;Карриаку;Карриаку;Святой Винсент и Гренадины
CRV;LIBC;Кротон;Кротон;Италия
CRW;KCRW;Йегер;Чарльстон;Соединенные Штаты
CRX;KCRX;Роско Тернер;Коринф;Соединенные Штаты
CRY;;Карлтон Хилл;Карлтон Хилл;Австралия
CRZ;UTAV;Туркменабад;Туркменабад;Туркменистан
CSA;;Остров Колонсей;Остров Колонсей;Великобритания
CSB;LRCS;Карансебес;Карансебес;Румыния
CSC;MRCA;камыш;камыш;Коста-Рика
CSD;;Крессвелл Даунс;Крессвелл Даунс;Австралия
CSE;KCSE;Крестед Бьютт;Крестед Бьютт;Соединенные Штаты
CSF;LFPC;Крейль;Крейль;Франция
CSH;ULAS;Соловки;Соловецкий;Российская Федерация
CSI;YCAS;Дэйвид;Феникс;Соединенные Штаты
CSJ;;Мыс Сен-Жак;Мыс Сен-Жак;Вьетнам
CSK;GOGS;Кепка Скирринг;Кепка Скирринг;Сенегал
CSM;KCSM;Шерман;Клинтон;Соединенные Штаты
CSN;KCXP;Карсон Сити;Карсон Сити;Соединенные Штаты
CSO;URSS;Кохстедт;Кохстедт;Германия
CSP;PACA;Вертодром береговой охраны;Мыс Спенсер;Канада
CSQ;KCSQ;Муниципальный;Крестон;Соединенные Штаты
CSR;;Казуарито;Казуарито;Колумбия
CSS;SSCL;Кассиландия;Кассиландия;Бразилия
CST;NFCS;Выбрасывать;Выбрасывать;Фиджи
CSU;ZSSZ;Санта-Крус-ду-Сул;Санта-Крус-ду-Сул;Бразилия
CSV;KCSV;Мемориал;Кроссвилл;Соединенные Штаты
CSW;;Западный Колорадо;Западный Колорадо;Бразилия
CSX;ZGHA;Чанша;Чанша;Китай
CSY;UWKS;Чебоксары;Чебоксары;Российская Федерация
CSZ;URSS;Бриг Д Гектор Эдуардо Руис;Полковник Суарес;Аргентина
CTA;LICC;Фонтанаросса;Катания;Италия
CTB;KCTB;Вырезать банк;Вырезать банк;Соединенные Штаты
CTC;SANC;Катамарка;Катамарка;Аргентина
CTD;MPCE;Читре;Читре;Панама
CTE;;книга;книга;Панама
CTF;MGCT;Коатепеке аэропорт;коатепеке;Гватемала
CTG;SKCG;Рафаэль Нуньес;Картахена;Колумбия
CTH;KMQS;Честеркаунти Карлсон;Коутсвилл;Соединенные Штаты
CTI;FNCV;Куито Куанавале;Куито Куанавале;Ангола
CTK;KCTK;Кантон;Кантон;Соединенные Штаты
CTL;YBCV;Чарльзвилл;Чарльзвилл;Австралия
CTM;MMCM;Четумаль;Четумаль;Белиз
CTN;YCKN;Куктаун;Куктаун;Австралия
CTO;LFRS;Река Пеконик;Калвертон;Соединенные Штаты
CTP;SNCP;Каретный дом;Каретный дом;Бразилия
CTQ;SSVP;До Пальмар;Святая Победа;Бразилия
CTR;YCAC;Кэттл-Крик;Кэттл-Крик;Австралия
CTS;RJCC;Новый аэропорт Титосэ;Саппоро;Япония
CTT;LFMQ;Ле Кастелле;Ле Кастелле;Франция
CTU;ZUUU;Шуанлю;Чэнду;Китай
CTW;KCTW;Коттонвуд;Коттонвуд;Соединенные Штаты
CTX;KCTX;Кортленд;Кортленд;Соединенные Штаты
CTY;KCTY;Кросс-Сити;Кросс-Сити;Соединенные Штаты
CTZ;KCTZ;округ Сэмпсон;Клинтон;Соединенные Штаты
CUA;MMDA;Конституционный город;Конституционный город;Мексика
CUB;KCUB;Оуэнс Филд;Колумбия;Соединенные Штаты
CUC;SKCC;Камило Дасо;Кукута;Колумбия
CUD;YCDR;Калаундра;Калаундра;Австралия
CUE;SECU;Бассейн;Бассейн;Эквадор
CUF;LIMZ;Даже Левальди;Клин;Италия
CUG;YCUA;Кудал;Кудал;Австралия
CUH;KCUH;Муниципальный;Кушинг;Соединенные Штаты
CUI;;Куррильо;Куррильо;Колумбия
CUJ;;Узкий;Узкий;Филиппины
CUK;;Кей Колкер;Кей Колкер;Белиз
CUL;MMCL;Федл Де Бачигуалато;Кулиакан;Мексика
CUM;SVCU;Кумана;Кумана;Венесуэла
CUN;MMUN;Канкан в Интере;Канкун;Мексика
CUO;SKCR;Каруру;Каруру;Колумбия
CUP;SVCP;Карупано;Карупано;Венесуэла
CUQ;YCOE;Коэн;Коэн;Австралия
CUR;TNCC;Международный аэропорт Хато;Кюрасао;Нидерландские Антильские острова
CUS;;Муниципальный;Колумбус;Соединенные Штаты
CUT;SAZW;Кутрал;Кутрал;Аргентина
CUU;MMCU;Джин Фиерро Вильялобос;Чихуахуа;Мексика
CUV;SVCG;Касигуа;Касигуа;Венесуэла
CUW;YCUE;Кубическая бухта;Кубическая бухта;Соединенные Штаты
CUX;KCUX;Каддихи Филд;Тело Христово;Соединенные Штаты
CUY;YCUE;Кий;Кий;Австралия
CUZ;SPZO;Веласко-Астете;Куско;Перу
CVA;MMVA;Сивик Ар Хели;Питтсбург;Соединенные Штаты
CVB;;Чунгрибу;Чунгрибу;Папуа - Новая Гвинея
CVC;YCEE;Клив;Клив;Австралия
CVE;SKCV;Ковенас;Ковенас;Колумбия
CVF;LFLJ;Куршевель;Куршевель;Франция
CVG;KCVG;Цинциннати/северный Кентукки;Ковингтон, Кентукки;Соединенные Штаты
CVH;SAHE;Кавиауэ;Кавиауэ;Аргентина
CVI;;Оливия Крик;Оливия Крик;Аргентина
CVJ;MMCB;Аэропорт Генерал Мариано Матаморос;Куэрнавака;Мексика
CVL;;Мыс Фогель;Мыс Фогель;Папуа - Новая Гвинея
CVM;MMCV;Виктория Сити;Виктория Сити;Мексика
CVN;KCVN;Муниципальный;Хлодвиг;Соединенные Штаты
CVO;KCVO;Олбани;Олбани;Соединенные Штаты
CVQ;YCAR;Карнарвон;Карнарвон;Австралия
CVR;SLCH;Хьюз;Калвер Сити;Соединенные Штаты
CVS;KCVS;Кэннон Авиабаза;Хлодвиг;Соединенные Штаты
CVT;EGBE;Уэст-Мидлендс Интернэшнл;Ковентри;Великобритания
CVU;LPCR;Остров Корво;Остров Корво;Португалия
CWA;KCWA;Центральный Висконсин;Ваусау;Соединенные Штаты
CWB;SBCT;Международный аэропорт Афонсу Пенья;Куритиба;Бразилия
CWC;UKLN;Chernovtsy;Chernovtsy;Украина
CWG;VHHH;Каллауэй Гарденс;Каллауэй Гарденс;Соединенные Штаты
CWI;KCWI;Клинтон;Клинтон;Соединенные Штаты
CWL;EGFF;Кардифф-Уэльс Арпт;Кардифф;Великобритания
CWO;KCWO;Форт Вольтер AAF;Минеральные скважины;Индонезия
CWP;;Кэмпбеллпор;Кэмпбеллпор;Пакистан
CWR;YCWI;Ковари;Ковари;Австралия
CWS;KCWS;Центральный остров;Центральный остров;Китай
CWT;YCWR;Коура;Коура;Австралия
CWW;YCOR;Корова;Корова;Австралия
CXA;SVCD;Кайкара Ориноко;Кайкара Ориноко;Венесуэла
CXC;KCXC;Читина Арпт;Китай;Соединенные Штаты
CXF;PACX;Колдфут;Колдфут;Соединенные Штаты
CXH;;Угольная гавань;Ванкувер;Канада
CXI;PLCH;Международный аэропорт Кэссиди;Остров Рождества;Кирибати
CXJ;SBCX;Кампу-дус-Бугреш;Кашиас-ду-Сул;Бразилия
CXL;KCXL;Международный;Калексико;Соединенные Штаты
CXN;HCMC;Чандала;Чандала;Сомали
CXO;KCXO;Монтгомери Ко;Конроу;Соединенные Штаты
CXP;WIHL;Пень Вулунг;Чилакап;Индонезия
CXQ;YCRK;Кристмас-Крик;Кристмас-Крик;Австралия
CXR;VVCR;Нах Транг (больше не работает);Нячанг;Вьетнам
CXT;YCHT;Чартерные башни;Чартерные башни;Австралия
CXY;MYCC;Кэт-Кейс;Кэт-Кейс;Багамы
CYA;MTCA;Ле-Ке;Ле-Ке;Гаити
CYB;MWCB;Джеррард-Смит;Кайман-Брак;Каймановы острова
CYC;MZCP;Часовня Кей;Часовня Кей;Белиз
CYE;SBGR;Кристальное озеро;Кристальное озеро;Соединенные Штаты
CYF;PACK;Chefornak SPB;Для Чефора;Соединенные Штаты
CYG;YCRG;Коррьонг;Коррьонг;Австралия
CYI;RCKU;Нет;Нет;Тайвань
CYL;MHCS;Койолы;Койолы;Гондурас
CYM;KCYM;Чатем СПБ;Чатем;Канада
CYO;MUCL;Саут-Ки-Ларго;Саут-Ки-Ларго;Куба
CYP;RPVC;Калбайог;Калбайог;Филиппины
CYR;SUCA;Утиная лагуна;Кёльн;Уругвай
CYS;KCYS;Шайенн;Шайенн;Соединенные Штаты
CYT;PACY;Средний;Было установлено;Соединенные Штаты
CYU;RPLO;Чей;Чей;Филиппины
CYX;UESS;Рубин;Cherskiy;Российская Федерация
CYZ;RPUY;Кауаян;Кауаян;Филиппины
CZA;MMCT;Чичен-Ица;Чичен-Ица;Мексика
CZB;SSAK;Карлос Руль;Высокий Крест;Бразилия
CZC;KCZC;Медный центр;Медный центр;Италия
CZE;SVCR;Хор;Хор;Венесуэла
CZF;PACZ;Мыс Романзоф;Мыс Романзоф;Соединенные Штаты
CZH;MZCZ;коросаль;коросаль;Белиз
CZJ;;Сердце Иисуса;Сердце Иисуса;Панама
CZK;KCZK;Каскад Локс/Стивенс;Каскадные замки;Соединенные Штаты
CZL;DABC;Айн Эль Бей;Константин;Алжир
CZM;MMCZ;Косумель;Косумель;Мексика
CZN;KCZN;Чисана Филд;Чисана;Соединенные Штаты
CZO;KCZO;Чисточина;Чисточина;Соединенные Штаты
CZP;KCZP;Мыс Полюс;Мыс Полюс;Соединенные Штаты
CZS;SBCZ;Международный Аэропорт. Южный Крест;Южный Крест;Бразилия
CZT;KCZT;Карризо Спрингс;Карризо Спрингс;Соединенные Штаты
CZU;SKCZ;коросаль;коросаль;Колумбия
CZW;EPCH;Ченстохова;Ченстохова;Польша
CZX;ZSCG;Чанчжоу;Чанчжоу;Китай
CZY;YUNY;Клюни;Клюни;Австралия
CZZ;URSS;Поле;Поле;Гаити
DAA;KDAA;Дэвисон ААФ;Форт Бельвуар;Соединенные Штаты
DAB;KDAB;Региональный;Дейтона-Бич;Соединенные Штаты
DAC;VGHS;Зия Интернэшнл;Дакка;Бангладеш
DAD;VVDN;Дананг;Дананг;Вьетнам
DAE;VEDZ;Дапаризо;Дапаризо;Индия
DAF;;Дауп;Дауп;Папуа - Новая Гвинея
DAG;KDAG;Барстоу-Дэггетт;Даггетт;Соединенные Штаты
DAH;;Датина;Датина;Йемен
DAI;;Дарджилинг;Дарджилинг;Индия
DAJ;;Остров Дауан;Остров Дауан;Австралия
DAK;HEDK;Дахла;Дахла Оазис;Египет
DAL;KDAL;Поле любви;Даллас;Соединенные Штаты
DAM;OSDI;Международный;Дамаск;Сирия
DAN;KDAN;Муниципальный;Данвилл;Соединенные Штаты
DAO;ZJYX;Дабо;Дабо;Эритрея
DAP;VNDL;Дарчула;Дарчула;Непал
DAR;HTDA;Международный;Дар-эс-Салам;Танзания
DAS;LPLA;Большое Медвежье озеро;Большое Медвежье озеро;Канада
DAT;ZBDT;богатый;богатый;Китай
DAU;AYDU;Я делаю;Я делаю;Папуа - Новая Гвинея
DAV;MPDA;Энрике Малек;Дэйвид;Панама
DAX;ZUDX;Даксиан;Даксиан;Китай
DAY;KDAY;Джеймс Кокс, Дейтон, международный;Дейтон, о;Соединенные Штаты
DAZ;OADZ;Дарваз;Дарваз;Афганистан
DBA;OPDB;Заказ;Заказ;Пакистан
DBB;YSDU;Алаламин, международный;Дабаа Сити;Египет
DBD;VEDB;Дханбад;Дханбад;Индия
DBM;HADM;Дебра Маркос;Дебра Маркос;Эфиопия
DBN;KDBN;Муниципальный;Дублин;Соединенные Штаты
DBO;YSDU;Даббо;Даббо;Австралия
DBP;;Сохранять;Сохранять;Папуа - Новая Гвинея
DBQ;KDBQ;Муниципальный;Дубюк;Соединенные Штаты
DBS;KDBS;Дюбуа;Дюбуа;Соединенные Штаты
DBT;HADT;Дебра Табор;Дебра Табор;Эфиопия
